ID,Mass_ground_truth,RA,DEC,tau_lim_lo,tau_lim_hi,sig_lim_lo,sig_lim_hi,mu,u_band,g_band,r_band,i_band,z_band,z,M_i,ug,gr,ri,iz,zu,tau,sigma
20511,8.502824926,1.015834,-0.688122,1.94104,4.19192,-0.824992,-0.427614,20.8843,20.97119565,20.77480435,20.66628261,20.59367391,20.41106522,1.9404,-24.889,0.1963913,0.10852174,0.0726087,0.18260869,-0.56013043,2.19598,-0.500273
99669,8.648615726,1.06862,-0.883526,2.52925,4.51265,-1.0008,-0.767479,19.6524,19.61974074,19.60201852,19.59566667,19.41235185,19.26064815,2.0201,-26.023,0.01772222,0.00635185,0.18331482,0.1517037,-0.35909259,2.72952,-0.843481
45600,9.250139782,1.08761,-0.567536,2.81634,4.52417,-0.795339,-0.628312,18.9812,18.85058333,18.70366667,18.59391667,18.46125,18.53041667,1.4603,-26.007,0.14691666,0.10975,0.13266667,-0.06916667,-0.32016666,2.96516,-0.685916
98,8.817950339,1.091028,0.962126,2.08917,4.02532,-0.510504,-0.261182,20.7824,20.64123256,20.06651163,19.75037209,19.67746512,19.42604651,0.7867,-23.399,0.57472093,0.31613954,0.07290697,0.25141861,-1.21518605,2.27673,-0.325921
99516,8.781504376,1.121598,0.596654,1.09855,2.08237,-0.288837,0.088844,21.2833,21.40583333,21.07580952,20.59754762,20.48397619,20.48088095,1.3021,-24.238,0.33002381,0.4782619,0.11357143,0.00309524,-0.92495238,1.4648,-0.043212
7838,8.444908199,1.132873,0.53199,2.1491,4.14946,-0.797824,-0.531254,20.1139,20.19786275,19.93182353,19.72592157,19.56637255,19.56270588,1.4442,-25.168,0.26603922,0.20590196,0.15954902,0.00366667,-0.63515687,2.33226,-0.594594
82552,7.932862921,1.148969,-1.221839,2.33098,4.20584,-0.697208,-0.544376,19.0846,18.95106383,18.65810638,18.73457447,18.52557447,18.43221277,0.5074,-23.442,0.29295745,-0.07646809,0.209,0.0933617,-0.51885106,2.53446,-0.58779
36689,8.671117921,1.163558,-0.52931,2.23191,4.34477,-1.19129,-0.899792,19.8509,19.841,19.80280357,19.78996429,19.51914286,19.47555357,1.8535,-25.738,0.03819643,0.01283928,0.27082143,0.04358929,-0.36544643,2.40908,-0.967569
62620,8.379567757,1.175142,0.505852,2.86052,4.59441,-0.949251,-0.606161,20.6182,20.86529787,20.49068085,20.35840426,20.05474468,19.98610638,1.7682,-25.219,0.37461702,0.13227659,0.30365958,0.0686383,-0.87919149,3.48534,-0.805184
5158,9.444274462,1.175791,0.006482,2.12304,3.71916,-0.683146,-0.492595,19.4031,19.3955102,19.2375102,18.98695918,19.07216327,19.07979592,1.0077,-24.719,0.158,0.25055102,-0.08520409,-0.00763265,-0.31571428,2.30304,-0.541021
114191,8.775747521,1.184301,1.010112,2.96907,4.58979,-0.98911,-0.782551,19.9542,19.83347826,19.72658696,19.50226087,19.39878261,19.39993478,1.4297,-24.92,0.1068913,0.22432609,0.10347826,-0.00115217,-0.43354348,3.16493,-0.866008
68664,9.041832033,1.192438,-0.053787,2.85059,4.57442,-1.01634,-0.699305,20.96,21.05506122,20.74193878,20.53318367,20.27081633,20.30504082,1.6027,-24.812,0.31312244,0.20875511,0.26236734,-0.03422449,-0.7500204,3.18454,-0.856757
52766,8.877347453,1.21578,1.211084,2.33892,4.36874,-0.667428,-0.412063,20.5099,20.4453913,20.16423913,19.99156522,19.72919565,19.71723913,1.5513,-24.971,0.28115217,0.17267391,0.26236957,0.01195652,-0.72815217,2.58431,-0.483714
