,Unnamed: 0,SDSS_Name,ra_DR7,dec_DR7,M,ERR,ID,ra_S82,dec_S82,z
9135,9134,235526.20-001156.4,358.85919189453125,-0.19901099801063532,8.628904264133586,0.15741692671564989,3986848,358.859192,-0.199009,1.4846
8602,8601,233155.01-011515.0,352.979248046875,-1.2541860342025757,7.8526265998278895,0.779178320092794,314358,352.979248,-1.254173,0.8749
1536,1536,010739.80-011042.5,16.915842056274414,-1.1784859895706177,9.413813566170397,0.11114611732955323,655873,16.915833,-1.178482,1.597
745,745,003330.69+004251.4,8.377894401550293,0.7142850160598755,8.598733900993977,0.3356897649239243,4133717,8.377892999999998,0.7142850000000001,0.5387
8451,8450,232538.01+005719.9,351.4084167480469,0.9555400013923644,8.817725384843515,0.3030079261858721,314594,351.408417,0.955542,1.9322
4519,4519,030347.12+002143.1,45.94635009765625,0.3619920015335083,8.060509283319284,0.3132727529116972,3028188,45.94634600000001,0.361994,0.5624
6414,6413,213125.52+001910.4,322.8563232421875,0.3195779919624329,9.725675597870293,0.09054772604442213,2398693,322.856354,0.319577,2.1309
8740,8739,233745.33+002411.2,354.43890380859375,0.40311598777771,8.740886041521339,0.0938687313954937,385990,354.438904,0.403118,1.5245
2310,2310,014132.65-005501.0,25.386070251464844,-0.9169520139694214,8.556382815226556,0.297283307195359,1307711,25.386066,-0.916949,0.7919
8544,8543,232903.41+001226.9,352.26422119140625,0.2074739933013916,8.91812737201815,0.11212798528541472,337449,352.264221,0.207479,1.2106
9108,9107,235408.60-001615.1,358.53582763671875,-0.2708669900894165,9.581839395282287,0.1167075585281998,3909577,358.535828,-0.270864,1.7732
3283,3283,021944.41+001033.1,34.935073852539055,0.17588700354099274,8.426385219461798,0.17056132352719527,1695055,34.935074,0.17589000000000002,0.8819
433,433,001927.05-002226.0,4.862741947174072,-0.37389999628067017,8.73362512603392,0.7647260196081945,64539,4.862732,-0.373893,1.2743
5234,5234,033230.04+011216.5,53.125205993652344,1.2045990228652954,8.636888368958,0.10759035994160099,3839058,53.125202,1.2046,1.0375
1278,1278,005526.78+000838.0,13.861607551574707,0.14389599859714508,8.671061386114031,0.1138497701145076,206979,13.861615,0.143903,2.0685
8177,8176,231152.90-001335.0,347.9704284667969,-0.22639200091362,8.187227711006532,0.0572837870837644,518803,347.970428,-0.226391,0.3478
3651,3651,023058.39-003041.7,37.74331665039063,-0.5116069912910461,8.385551636786277,0.133774836862752,1990949,37.743317,-0.511605,1.4171
8190,8189,231241.54+011246.2,348.1731262207031,1.2128469944000244,8.675463218582728,0.060571843471738336,530768,348.173126,1.2128450000000002,1.4982
